EIA_Plant_ID,CEC_Plant_ID,CEC_PLANT_ID_UNIT_ID_(Combination_Key),Plant_Name,RPS_ID,ARB_ID,Unit,Start_Date,Retired_Unit,Retire_Date,CA-ISO_Resource_ID,CA-ISO_Generating_Unit_Name,Company_Owner_Name,City,County,Prime_Mover_Description,Prime_Energy_Source,Latitude,Longitude,CapacityMW2015,GenerationMWh2015,CapacityMW2014,GenerationMWh2014,CapacityMW2013,GenerationMWh2013,CapacityMW2012,GenerationMWh2012,CapacityMW2011,GenerationMWh2011,WaterDataAvail2015,Hours2015,Diversion2015,Withdrawal2015,Discharge2015,Consumption2015,WaterSource2015,CoolingIntakeGalMin2014,WaterDataAvail2014,Hours2014,Diversion2014,Withdrawal2014,Discharge2014,Consumption2014,WaterSource2014,CoolingIntakeGalMin2014,WaterDataAvail2013,Hours2013,Diversion2013,Withdrawal2013,Discharge2013,Consumption2013,WaterSource2013,CoolingIntakeGalMin2013,WaterDataAvail2012,Hours2012,Diversion2012,Withdrawal2012,Discharge2012,Consumption2012,WaterSource2012,CoolingIntakeGalMin2012,WaterDataAvail2011,Hours2011,Diversion2011,Withdrawal2011,Discharge2011,Consumption2011,WaterSource2011,CoolingIntakeGalMin2011
6481,C0023,C0023Unit 1,Intermountain Power Project (UT),,,Unit 1,31572,FALSE,,,,Los Angeles Department of Water & Power (LADWP),Delta,Millard,Steam Turbine,BIT,#N/A,#N/A,900,6093510,900,5638640,900,6074570,900,3688110,900,6151950,1,16545,0,4748.36,0,4748.34,#N/A,#N/A,1,15587,0,133030,0,133030,DMAD Reservoir,39497.14,1,16097,0,137466,0,137466,DMAD Reservoir,39497.14,1,13383,0,290,0,290,DMAD Reservoir,88,1,16256,0,327,0,327,DMAD Reservoir,88
6481,C0023,C0023Unit 2,Intermountain Power Project (UT),,,Unit 2,31898,FALSE,,,,Los Angeles Department of Water & Power (LADWP),Delta,Millard,Steam Turbine,BIT,#N/A,#N/A,900,5743170,900,6731180,900,5749560,900,6027730,900,6879620,1,16545,0,4748.36,0,4748.34,#N/A,#N/A,1,15587,0,133030,0,133030,DMAD Reservoir,39497.14,1,16097,0,137466,0,137466,DMAD Reservoir,39497.14,1,13383,0,290,0,290,DMAD Reservoir,88,1,16256,0,327,0,327,DMAD Reservoir,88
2341,C0024,C0024Unit 1,Mohave Generating Station (Nevada) - Retired December 2005,,,Unit 1,25934,TRUE,38717,,,Southern California Edison (SCE),Laughlin,Clark,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,Colorado River,15978.39,0,#N/A,#N/A,#N/A,#N/A,#N/A,Colorado River,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,Colorado River,35.6,1,#N/A,#N/A,#N/A,#N/A,#N/A,Colorado River,35.6
2341,C0024,C0024Unit 2,Mohave Generating Station (Nevada) - Retired December 2005,,,Unit 2,25934,TRUE,38717,,,Southern California Edison (SCE),Laughlin,Clark,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,Colorado River,15978.39,0,#N/A,#N/A,#N/A,#N/A,#N/A,Colorado River,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,Colorado River,35.6,1,#N/A,#N/A,#N/A,#N/A,#N/A,Colorado River,35.6
10288,E0003,E0003BVP 1,Big Valley Power LLC_(Retired June 30  2010),,,BVP 1,30498,TRUE,40359,MCARTH_6_BIGVAL,,Big Valley Power LLC,Bieber,Lassen,#N/A,#N/A,41.1325,-121.137222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,#N/A
10144,E0004,E0004GEN 2,SPI - Lincoln,60088,101680,GEN 2,35582,TRUE,38135,SPI LI_2_UNIT 1,Lincoln Biomass,Sierra Pacific Industries Inc,Lincoln,Placer,#N/A,#N/A,38.9032,-121.3097,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A
10144,E0004,E0004GEN 3,SPI - Lincoln,60088,101680,GEN 3,36192,TRUE,38135,SPI LI_2_UNIT 1,Lincoln Biomass,Sierra Pacific Industries Inc,Lincoln,Placer,#N/A,#N/A,38.9032,-121.3097,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A
10144,E0004,E0004GEN 4,SPI - Lincoln,60088,101680,GEN 4,38058,FALSE,,SPI LI_2_UNIT 1,Lincoln Biomass,Sierra Pacific Industries Inc,Lincoln,Placer,Steam Turbine,WDS,38.9032,-121.3097,19.2,96305,19.2,112940,19.2,104548,19.2,107706,19.2,88863,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well,#N/A
10652,E0005,E00051,Burney Forest Products,60073,100018,1,32782,FALSE,,BURNYF_2_UNIT 1,BURNEY FOREST PRODUCTS,Burney Forest Power,Burney,Shasta,Steam Turbine,WDS,40.879719,-121.720342,31,222267,31,214574,31,228407,31,224903,31,216749,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A
54219,E0006,E0006GEN 1,Burney Mountain Power,,,GEN 1,31048,TRUE,40482,MTNPWR_7_BURNEY,,Burney Mountain Power,Burney,Shasta,#N/A,#N/A,40.909483,-121.640368,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A
